"","Year","Player","Salary","Pos","Age","G","GS","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","FG%","3P%","2P%","eFG%","FT%","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","bpm","team_ts","tm_ts_w_o_plyr","defense","val_shot","offense","raw_spm","exp_bpm","truetalentbpm","truetalentvorp"
"2308",1995,"Anthony Bowie",0.0160869565217391,"SG",31,77,4,16.3766233766234,11.7,0.532,0.108,0.198,5.1,7.5,6.3,17.3,1.9,1.1,17.7,16.6,1,1,2,0.077,-1.2,-0.7,-2,0,0.48,0.3,0.502,0.496,0.836,0.701298701298701,1.1038961038961,2.06493506493507,0.61038961038961,0.272727272727273,1.11688311688312,1.79220779220779,5.54545454545455,-1.7,0.569,0.571,-0.06,-0.02,-1.59,-2.51,-1.3,-1.6,0.1
"3452",1997,"Donyell Marshall",0.148327137546468,"SF",23,61,20,16.7540983606557,15.6,0.478,0.264,0.233,10.7,21.4,16,9.1,1.3,3.5,10.6,22.6,0.5,0.8,1.3,0.059,-1.4,-0.9,-2.3,-0.1,0.413,0.315,0.448,0.455,0.622,1.50819672131148,3.01639344262295,0.885245901639344,0.409836065573771,0.754098360655738,0.901639344262295,1.57377049180328,7.27868852459016,-2.2,0.543,0.547,0.4,-0.18,-1.06,-1.87,-3,-2.7,-0.1
"13592",2015,"Jeremy Evans",0.0157228857142857,"SF",27,38,0,7,20.5,0.636,0.086,0.5,11.3,19.4,15.4,7.9,2.2,3.6,6.6,13.1,0.9,0.4,1.3,0.241,1.5,2,3.5,0.4,0.552,0.4,0.566,0.569,0.828,0.684210526315789,1.18421052631579,0.342105263157895,0.289473684210526,0.315789473684211,0.131578947368421,0.763157894736842,2.36842105263158,3.5,0.531,0.53,1.8,0.08,3.59,3.35,-4.1,-1.5,0.1
"3002",1996,"Jamie Watson",0.0410458482124533,"SF",23,16,0,13.5625,6.9,0.493,0.163,0.302,2.9,12.1,7.6,15.6,2,0.8,25.9,13.9,-0.2,0.2,0.1,0.02,-3.5,1,-2.5,0,0.419,0.429,0.417,0.453,0.692,0.3125,1.375,1.5,0.5,0.125,1.0625,1.875,3,-2,0.566,0.566,-0.04,-0.11,-2.3,-4.48,-2.2,-2.3,-0.1
"5865",2001,"Sean Rooks",0.0564705882352941,"C",31,82,0,18.9390243902439,11.5,0.487,0.005,0.362,6.9,15.2,11.2,8.1,1.2,2.9,13.7,15.8,0.8,1.5,2.3,0.07,-2.5,1.1,-1.3,0.3,0.428,0.5,0.427,0.429,0.748,1.10975609756098,2.58536585365854,0.939024390243902,0.414634146341463,0.780487804878049,0.890243902439024,2.40243902439024,5.4390243902439,-1.4,0.514,0.516,0.08,-0.18,0.15,-1.87,-2.1,-1.7,0.1
"10367",2010,"Al Horford",0.0938056818964923,"C",23,81,81,35.1234567901235,19.4,0.594,0.001,0.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,0.183,1.5,1.9,3.3,3.8,0.551,1,0.551,0.552,0.789,2.91358024691358,6.95061728395062,2.33333333333333,0.728395061728395,1.12345679012346,1.50617283950617,2.77777777777778,14.1728395061728,3.1,0.545,0.538,-0.11,0.01,1.23,3.02,2.2,2.8,3.5
"12827",2014,"DeMar DeRozan",0.150638230397209,"SG",24,79,79,38.1898734177215,18.4,0.532,0.149,0.448,2,11.3,6.6,18.9,1.5,0.7,9.5,28,5.8,3,8.8,0.141,1.4,-0.7,0.7,2,0.429,0.305,0.451,0.452,0.824,0.645569620253165,3.69620253164557,3.9620253164557,1.08860759493671,0.354430379746835,2.22784810126582,2.49367088607595,22.6708860759494,0.6,0.545,0.548,-0.61,0.04,-1.28,-0.07,2.6,1.5,2.6
"6713",2003,"Kevin Garnett",0.638686131386861,"PF",26,82,82,40.5,26.4,0.553,0.048,0.339,8.6,28.5,18.8,25.8,1.8,2.8,11.9,26.4,9.8,5.8,15.6,0.225,5,3.7,8.7,9,0.502,0.282,0.513,0.508,0.751,2.97560975609756,10.4634146341463,6.03658536585366,1.3780487804878,1.57317073170732,2.79268292682927,2.42682926829268,22.9634146341463,8.1,0.528,0.521,0.78,0.25,-0.36,8.05,3,6.1,5.9
"5954",2002,"Allan Houston",0.356180626257108,"SG",30,77,77,37.8441558441558,15.2,0.54,0.266,0.261,1.5,8.6,5,12.6,1,0.3,10.5,25.9,3.6,1.1,4.7,0.077,1.5,-2.1,-0.7,1,0.437,0.393,0.452,0.489,0.87,0.480519480519481,2.79220779220779,2.46753246753247,0.701298701298701,0.12987012987013,2.20779220779221,2.36363636363636,20.3506493506494,-0.8,0.514,0.508,-1.57,0.09,1.42,-0.87,1.4,0.3,1.2
"934",1992,"Bob Hansen",0.0428571428571429,"SG",31,68,2,11.8970588235294,5.7,0.461,0.152,0.124,2.5,8.3,5.5,10.4,1.7,0.2,13,11.5,0,0.9,0.9,0.053,-3.1,-0.2,-3.3,-0.3,0.444,0.259,0.477,0.463,0.364,0.25,0.882352941176471,1.01470588235294,0.397058823529412,0.0441176470588235,0.411764705882353,1.97058823529412,2.54411764705882,-2.8,0.556,0.558,-0.71,-0.2,0.19,-4.45,-1.7,-2.4,-0.1
